#id #x0 #y0 #z0 #w0
253 -10.677 -24.351 94.2869 95.0
254 14.619 -22.1727 -93.9076 -95.0
254 -11.4622 -23.9827 94.285 95.0
255 13.885 -22.634 -93.9104 -95.0
255 -12.235 -23.5886 94.2832 95.0
256 13.1291 -23.0796 -93.9015 -95.0
256 -12.9917 -23.1748 94.2943 95.0
257 12.3659 -23.4916 -93.9011 -95.0
257 -13.7375 -22.731 94.2957 95.0
258 11.5897 -23.8782 -93.9006 -95.0
258 -14.4683 -22.2634 94.2972 95.0
259 10.8011 -24.2392 -93.9001 -95.0
259 -15.1833 -21.772 94.2985 95.0
260 10.0012 -24.5744 -93.8996 -95.0
260 -15.8818 -21.2574 94.3 95.0
261 9.19065 -24.8832 -93.899 -95.0
261 -16.5633 -20.7202 94.3014 95.0
262 8.37051 -25.1653 -93.8985 -95.0
262 -17.2265 -20.1609 94.3029 95.0
263 7.54304 -25.4207 -93.8976 -95.0
263 -17.8728 -19.5801 94.3042 95.0
264 6.70612 -25.6484 -93.8971 -95.0
264 -18.4981 -18.9788 94.3057 95.0
265 5.86205 -25.8489 -93.8964 -95.0
265 -19.1033 -18.3571 94.3072 95.0
266 5.01186 -26.0215 -93.8957 -95.0
266 -19.6879 -17.7163 94.3089 95.0
267 4.15654 -26.1661 -93.895 -95.0
267 -20.2509 -17.0565 94.3104 95.0
268 3.29836 -26.2832 -93.8941 -95.0
268 -20.7938 -16.3782 94.3119 95.0
269 2.43522 -26.3717 -93.8933 -95.0
269 -21.3124 -15.6831 94.3135 95.0
270 1.56966 -26.4317 -93.8926 -95.0
270 -21.8081 -14.9715 94.3152 95.0
271 0.703905 -26.4642 -93.8915 -95.0
271 -22.2815 -14.2432 94.3167 95.0
272 -0.160056 -26.4601 -93.916 -95.0
272 -22.7305 -13.5019 94.293 95.0
273 -1.02606 -26.4359 -93.9133 -95.0
273 -23.1555 -12.7445 94.2963 95.0
274 -1.89226 -26.3827 -93.9106 -95.0
